entity_id,label,embedding_value,direction
2497,Protein_GRB2,19336116224.0,positive
2834,Protein_PIK3R1,10213782528.0,positive
2328,Protein_CTNNB1,10180317184.0,positive
2463,Protein_FYN,8631851008.0,positive
2643,Protein_MAPK1,8071429120.0,positive
2569,Protein_ITGB1,7271372800.0,positive
2600,Protein_KRAS,6914941440.0,positive
2818,Protein_PDGFA,6844644352.0,positive
2383,Protein_DRG1,6688062976.0,positive
3053,Protein_SHC1,6567740416.0,positive
2778,Protein_NXF1,-9152471040.0,negative
286,GO_0035556_instance,-5382646784.0,negative
93,GO_0006351_instance,-5377565696.0,negative
271,GO_0032774_instance,-5376978944.0,negative
283,GO_0034654_instance,-5376037888.0,negative
474,GO_0141187_instance,-5375376896.0,negative
367,GO_0050794_instance,-5231884800.0,negative
195,GO_0016070_instance,-5230626304.0,negative
133,GO_0007165_instance,-5025003008.0,negative
440,GO_0090304_instance,-5020564992.0,negative
