entity_id,label,embedding_value,direction
2497,Protein_GRB2,39153844224.0,positive
2328,Protein_CTNNB1,19004846080.0,positive
2834,Protein_PIK3R1,18204938240.0,positive
2686,Protein_MOV10,16361621504.0,positive
2214,Protein_CALM3,15620644864.0,positive
2463,Protein_FYN,14981785600.0,positive
2643,Protein_MAPK1,14388153344.0,positive
2600,Protein_KRAS,13041550336.0,positive
3053,Protein_SHC1,12485310464.0,positive
2569,Protein_ITGB1,11823114240.0,positive
9067,Sample_GSM1317914,-6270377472.0,negative
9177,Sample_GSM1318024,-4152023040.0,negative
9064,Sample_GSM1317911,-3166081792.0,negative
9078,Sample_GSM1317925,-2639016448.0,negative
9070,Sample_GSM1317917,-2222756352.0,negative
9203,Sample_GSM1318050,-2186756096.0,negative
9149,Sample_GSM1317996,-2061457280.0,negative
9204,Sample_GSM1318051,-1836143232.0,negative
9062,Sample_GSM1317909,-1807899520.0,negative
9104,Sample_GSM1317951,-1597259520.0,negative
