entity_id,label,embedding_value,direction
2497,Protein_GRB2,50504577024.0,positive
2686,Protein_MOV10,20526188544.0,positive
2328,Protein_CTNNB1,18591836160.0,positive
2778,Protein_NXF1,15868323840.0,positive
2463,Protein_FYN,15081184256.0,positive
3053,Protein_SHC1,12970752000.0,positive
3082,Protein_SMAD4,12095264768.0,positive
2834,Protein_PIK3R1,12030945280.0,positive
2569,Protein_ITGB1,10740995072.0,positive
3137,Protein_SUMO1,9118707712.0,positive
9067,Sample_GSM1317914,-7174445056.0,negative
2958,Protein_REPS2,-5495319040.0,negative
2208,Protein_C21orf91,-4805588992.0,negative
2818,Protein_PDGFA,-4671563264.0,negative
2241,Protein_CD164,-4479539712.0,negative
2313,Protein_COX6A1,-4255185664.0,negative
3169,Protein_THEMIS,-4073568512.0,negative
2383,Protein_DRG1,-3768093696.0,negative
9205,Sample_GSM1318052,-3215215872.0,negative
3050,Protein_SH2D1A,-3041789440.0,negative
