entity_id,label,embedding_value,direction
2606,Protein_KRAS,41254068224.0,positive
2503,Protein_GRB2,19361132544.0,positive
2840,Protein_PIK3R1,12746919936.0,positive
2334,Protein_CTNNB1,11706440704.0,positive
3127,Protein_STAT1,10368798720.0,positive
3059,Protein_SHC1,10277515264.0,positive
2575,Protein_ITGB1,7496741888.0,positive
2514,Protein_H4C3,7454147584.0,positive
3088,Protein_SMAD4,7200224768.0,positive
3129,Protein_STAT5A,6966482432.0,positive
2990,Protein_RNF4,-1406307200.0,negative
2613,Protein_LBR,-1234059264.0,negative
486,GO_1902533_instance,-1124745088.0,negative
3096,Protein_SNAP23,-980509952.0,negative
1220,Pathway_R-HSA-5339700,-815809728.0,negative
3175,Protein_THEMIS,-804436864.0,negative
298,GO_0043065_instance,-723482240.0,negative
442,GO_0097190_instance,-681740608.0,negative
3304,Protein_VRK3,-583264640.0,negative
183,GO_0010972_instance,-502038976.0,negative
