entity_id,label,embedding_value,direction
2606,Protein_KRAS,10755972096.0,positive
2729,Protein_MYC,1253999616.0,positive
426,GO_0071013_instance,878221056.0,positive
2990,Protein_RNF4,798192320.0,positive
2406,Protein_EFTUD2,683657408.0,positive
2514,Protein_H4C3,624334976.0,positive
209,GO_0016925_instance,310298656.0,positive
211,GO_0018193_instance,310244480.0,positive
212,GO_0018205_instance,310166272.0,positive
2262,Protein_CDC5L,308413504.0,positive
2577,Protein_ITM2B,-2210053376.0,negative
2185,Protein_BARD1,-1398505984.0,negative
2784,Protein_NXF1,-901403136.0,negative
2329,Protein_CSE1L,-852089664.0,negative
3059,Protein_SHC1,-833581696.0,negative
2608,Protein_KRIT1,-827823488.0,negative
3300,Protein_VPS26A,-806864640.0,negative
2472,Protein_GABPA,-790600768.0,negative
2810,Protein_PARP12,-758487104.0,negative
2191,Protein_BCLAF1,-740840064.0,negative
