entity_id,label,embedding_value,direction
3127,Protein_STAT1,1372669184.0,positive
2469,Protein_FYN,1342958208.0,positive
3129,Protein_STAT5A,837007488.0,positive
2556,Protein_IL2RG,745860224.0,positive
3143,Protein_SUMO1,686978688.0,positive
2334,Protein_CTNNB1,685457792.0,positive
2575,Protein_ITGB1,508771584.0,positive
3019,Protein_RUNX2,508191808.0,positive
3059,Protein_SHC1,504001440.0,positive
2332,Protein_CTBP2,482227104.0,positive
576,Pathway_R-HSA-1295596,-1264052992.0,negative
2729,Protein_MYC,-1231747584.0,negative
333,GO_0045088_instance,-1216448640.0,negative
494,GO_1903706_instance,-1075775744.0,negative
486,GO_1902533_instance,-944194368.0,negative
2990,Protein_RNF4,-906846848.0,negative
2406,Protein_EFTUD2,-782266304.0,negative
297,GO_0042981_instance,-744857984.0,negative
2262,Protein_CDC5L,-738363584.0,negative
2649,Protein_MAPK1,-735764416.0,negative
