entity_id,label,embedding_value,direction
2606,Protein_KRAS,10864949248.0,positive
2503,Protein_GRB2,1821110912.0,positive
2185,Protein_BARD1,1735763712.0,positive
2649,Protein_MAPK1,1367021824.0,positive
2729,Protein_MYC,1338376064.0,positive
2221,Protein_CALR,1228534016.0,positive
2905,Protein_PSMB5,1201209344.0,positive
2533,Protein_HNRNPC,1028462592.0,positive
2742,Protein_NAE1,955457664.0,positive
2174,Protein_ATXN7L3,949298176.0,positive
3127,Protein_STAT1,-1183407360.0,negative
426,GO_0071013_instance,-1177198336.0,negative
3088,Protein_SMAD4,-1046315520.0,negative
2514,Protein_H4C3,-971979584.0,negative
2288,Protein_CISD1,-955594368.0,negative
2416,Protein_ELMOD3,-954057216.0,negative
2771,Protein_NRG1,-916622336.0,negative
576,Pathway_R-HSA-1295596,-909848128.0,negative
2856,Protein_PLXNC1,-905878464.0,negative
2176,Protein_AUNIP,-877575296.0,negative
